scale,matcher,candidate_recall_mean,candidate_recall_std,recall_mean,recall_std,scoring_recall_given_candidate_mean,scoring_recall_given_candidate_std,precision_mean,precision_std,f1_mean,f1_std
0.0,baseline,1.0,0.0,0.9982858606951499,0.0004483416319106638,0.9982858606951499,0.0004483416319106638,0.9988322787000874,0.0003492751427522886,0.9985589622647659,0.0003539331280120074
0.0,learned,1.0,0.0,0.9996717131251502,0.00016260833267688621,0.9996717131251502,0.00016260833267688621,0.9996353761980366,0.0002625245583764757,0.9996535110369109,0.00010346925003302367
0.0,splink,1.0,0.0,0.998225052615114,0.0004325623360066022,0.998225052615114,0.0004325623360066022,0.9950914931703615,0.0005896538764161248,0.9966556714310402,0.000338292476088316
0.5,baseline,0.9991974953847336,0.00032026328387458074,0.9820910218274858,0.001995263118955638,0.9828796626964762,0.0019016590701037082,0.9989485428701441,0.00036591093714388604,0.9904473379037132,0.0011469459615191884
0.5,learned,0.9991974953847336,0.00032026328387458074,0.9948083707365238,0.000872891065901994,0.9956072469344992,0.0006578464908941781,0.9997068578139394,0.0001926484570731134,0.997251414249664,0.00044446358694441655
0.5,splink,0.9991974953847336,0.00032026328387458074,0.9818721929286411,0.002018249307944631,0.9826606473593893,0.0019197793101034602,0.995279934897761,0.0006288585930615469,0.9885296453893708,0.0011055058887515293
1.0,baseline,0.9972522994681304,0.0004687840846070551,0.9631365291972038,0.0020926171527343358,0.965790149701047,0.0020055465769165306,0.9989786671653607,0.00032251453189428565,0.9807291641861351,0.0010948456486527239
1.0,learned,0.9972522994681304,0.0004687840846070551,0.9866626300101344,0.0012719199163608416,0.9893811628819659,0.0011965185893037988,0.9996920541827242,0.00017658946459255694,0.9931342335373097,0.0006523461940632553
1.0,splink,0.9972522994681304,0.0004687840846070551,0.962078985922506,0.002198657255866784,0.964729638527162,0.0020891904116229656,0.9952084571675559,0.0007901790082829544,0.9783621498029692,0.0012422012521593384
2.0,baseline,0.990151854473192,0.0011472590426066947,0.9157673385756941,0.003064330929281757,0.9248762206413449,0.0030990143099513426,0.9992569537052475,0.0002441333503585651,0.9556898255347427,0.0016903330659378854
2.0,learned,0.990151854473192,0.0011472590426066947,0.9598288428262558,0.0025568928271480908,0.9693756960072237,0.0024623530756915555,0.9996962600602439,0.00022455026869500904,0.9793553655219147,0.0013142746698798812
2.0,splink,0.990151854473192,0.0011472590426066947,0.9110866654378154,0.003023698860331361,0.9201489559719811,0.0030469424996760917,0.9952988697760968,0.0007360196192339525,0.9513302079832785,0.0016508351517273206
4.0,baseline,0.9631724609982186,0.001997679568142181,0.8026694561223922,0.003944269201900527,0.8333633010392131,0.004448183056270408,0.9994396448940431,0.0002274927789375748,0.890307338881585,0.0024551538706861094
4.0,learned,0.9631724609982186,0.001997679568142181,0.868081592508223,0.004081527115037826,0.901272539917741,0.003608684772475832,0.9997903803908361,0.0001767477008846174,0.9292876290405996,0.0023035253570790914
4.0,splink,0.9631724609982186,0.001997679568142181,0.777476682373208,0.004829860319235817,0.8072085473430372,0.0055199308016968705,0.9954087111999759,0.0007115651558903954,0.8730401250135978,0.003002256710205187
