row_type,experiment,condition_or_scenario,seed,matcher,source_filename,precision,recall,f1,b3_precision,b3_recall,b3_f1,closure_precision,closure_recall,closure_f1,n_seeds,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,b3_precision_mean,b3_precision_sd,b3_recall_mean,b3_recall_sd,b3_f1_mean,b3_f1_sd,closure_precision_mean,closure_precision_sd,closure_recall_mean,closure_recall_sd,closure_f1_mean,closure_f1_sd,mean_absolute_closure_minus_pairwise_f1,closure_explanation
per_seed,E1,clean,20260720,baseline,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9985267810165211,0.9977917981072556,0.9981591542628728,0.9992617107942974,0.997793618465716,0.9985271250117363,0.9985267810165211,0.9977917981072556,0.9981591542628728,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260720,learned,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9995789916850858,0.99863301787592,0.9991057808637104,0.99979633401222,0.9982179226069248,0.9990065048449108,0.9995789916850858,0.99863301787592,0.9991057808637104,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260720,splink,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9866902360403452,0.9977917981072556,0.9922099649709836,0.9920332654446709,0.998099117447386,0.9950569471965416,0.9864850816093148,0.9977917981072556,0.9921062261487792,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260721,baseline,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9984258579074404,0.99895002099958,0.998687870676534,0.9992112063103497,0.9991330069359444,0.9991721050930948,0.998321091290661,0.99895002099958,0.998635457121864,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260721,learned,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9998949027850762,0.99895002099958,0.9994222385629498,0.9999320005439956,0.9991330069359444,0.9995323440676274,0.9998949027850762,0.99895002099958,0.9994222385629498,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260721,splink,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9887757223030555,0.99895002099958,0.9938368327588007,0.9933632530939752,0.9991670066639468,0.996256677421254,0.9886729710069624,0.99895002099958,0.9937849271426332,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260722,baseline,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.99874213836478,0.9981143934632308,0.9984281672430052,0.9992197174019982,0.9987108374467796,0.9989652126176296,0.9984281672430052,0.9981143934632308,0.9982712556969984,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260722,learned,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9994759459176188,0.998952440812906,0.9992141247969822,0.9997285973572168,0.9991349040761284,0.9994316625486432,0.9994759459176188,0.998952440812906,0.9992141247969822,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260722,splink,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9857231533209186,0.9981143934632308,0.9918800749531542,0.9914050175563583,0.9988126134378232,0.995095029950252,0.9854173130623642,0.9981143934632308,0.9917252146760344,,,,,,,,,,,,,,,,,,,,,
per_seed,E1,clean,20260723,baseline,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv,0.9989502414444678,0.9987405541561712,0.9988453867954236,0.999504564118226,0.9989310801180902,0.9992177398328218,0.9989502414444678,0.9987405541561712,0.9988453867954236,,,,,,,,,,,,,,,,,,,,,
