row_type,matcher,seed,k,f1,seed_strictly_decreasing_across_tested_k,spearman_rho_for_seed,spearman_p_value_for_seed,tested_k_values,n_seeds,monotone_seed_count,monotone_seed_fraction,monotone_fraction_exact_ci95_low,monotone_fraction_exact_ci95_high,monotone_count_one_sided_binomial_p_vs_0_5,spearman_rho_mean,spearman_rho_min,spearman_rho_max,k0_minus_k4_f1_mean,k0_minus_k4_f1_sd,k0_minus_k4_f1_ci95_low,k0_minus_k4_f1_ci95_high,k0_minus_k4_paired_t_statistic,k0_minus_k4_paired_t_p_value,k0_minus_k4_wilcoxon_statistic,k0_minus_k4_wilcoxon_p_value,k0_minus_k4_sign_positive_count,k0_minus_k4_sign_negative_count,k0_minus_k4_sign_zero_count,k0_minus_k4_sign_nonzero_count,k0_minus_k4_exact_sign_p_value,scope_statement,source_filename
per_matcher_seed_level,baseline,20260720,0.0,0.9979952615272462,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260720,0.5,0.9883435582822084,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260720,1.0,0.9783147459727386,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260720,2.0,0.9523930591749824,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260720,4.0,0.8863359913501826,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260721,0.0,0.9989662511401644,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260721,0.5,0.9913608234789536,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260721,1.0,0.9801710249101498,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260721,2.0,0.955113961018348,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260721,4.0,0.8887688255554804,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260722,0.0,0.9984215638659544,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260722,0.5,0.9903304773561812,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260722,1.0,0.979707993071022,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260722,2.0,0.9556569111871278,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260722,4.0,0.8905640059227352,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260723,0.0,0.9981773997569866,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260723,0.5,0.9898903253477116,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260723,1.0,0.9810247852154028,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260723,2.0,0.9543694865773942,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260723,4.0,0.8875683705854548,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260724,0.0,0.9991482112436116,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260724,0.5,0.9920323608727628,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260724,1.0,0.9807930607187114,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260724,2.0,0.9572053509161226,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260724,4.0,0.8892490545651,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260725,0.0,0.9987836029680088,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260725,0.5,0.9916069349996935,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260725,1.0,0.9820655534941248,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260725,2.0,0.9567642956764296,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260725,4.0,0.8923304827957713,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260726,0.0,0.9985392574558734,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260726,0.5,0.9890636520029492,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260726,1.0,0.9812325797460512,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260726,2.0,0.9569408332804872,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260726,4.0,0.892854737692774,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260727,0.0,0.9986005476118042,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260727,0.5,0.9911102936668508,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260727,1.0,0.9813679975239864,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260727,2.0,0.9576126211746816,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260727,4.0,0.8924506700787931,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260728,0.0,0.998661311914324,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260728,0.5,0.9902424056459036,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260728,1.0,0.9808609476618148,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260728,2.0,0.9540222575516693,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260728,4.0,0.8892941573792639,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260729,0.0,0.998296215163685,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260729,0.5,0.990492547383917,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260729,1.0,0.9817529535473496,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
per_matcher_seed_level,baseline,20260729,2.0,0.9568194787901846,True,-0.9999999999999999,1.4042654220543672e-24,"[0.0, 0.5, 1.0, 2.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E3/e3_per_run.csv
