row_type,scenario,seed,matcher,calibration_mode,calibration_seed,evaluation_seed_disjoint,records,true_pairs,candidate_pairs,candidate_recall,precision,recall,f1,threshold,false_positive_count,co_resident_false_positive_count,co_resident_false_positive_share,co_resident_nonmatch_count,median_true_match_score,median_co_resident_nonmatch_score,median_random_nonmatch_score,random_nonmatch_sample_count,oracle_f1,oracle_threshold,score_label_sha256,source_run_path,source_run_manifest_sha256,n_seeds,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,threshold_mean,threshold_sd,threshold_ci95_low,threshold_ci95_high,candidate_recall_mean,candidate_recall_sd,candidate_recall_ci95_low,candidate_recall_ci95_high,false_positive_count_mean,false_positive_count_sd,false_positive_count_ci95_low,false_positive_count_ci95_high,co_resident_false_positive_count_mean,co_resident_false_positive_count_sd,co_resident_false_positive_count_ci95_low,co_resident_false_positive_count_ci95_high,co_resident_false_positive_share_mean,co_resident_false_positive_share_sd,co_resident_false_positive_share_ci95_low,co_resident_false_positive_share_ci95_high,median_true_match_score_mean,median_true_match_score_sd,median_true_match_score_ci95_low,median_true_match_score_ci95_high,median_co_resident_nonmatch_score_mean,median_co_resident_nonmatch_score_sd,median_co_resident_nonmatch_score_ci95_low,median_co_resident_nonmatch_score_ci95_high,median_random_nonmatch_score_mean,median_random_nonmatch_score_sd,median_random_nonmatch_score_ci95_low,median_random_nonmatch_score_ci95_high,oracle_f1_mean,oracle_f1_sd,oracle_f1_ci95_low,oracle_f1_ci95_high
per_seed,adoption_blended_family,20260720,baseline,clean_frozen,20260719,True,16342.0,8165.0,46535.0,1.0,0.9851815665201107,0.7409675443968157,0.845798965469034,0.65,91.0,91.0,1.0,2167.0,1.0000000000000002,0.6,0.3414285714285714,2167.0,0.8512135068589518,1.0000000000000002,8bed44bd7eacc09d729108c0dbee0741c633df7ce396dc8d602f37c2823c3388,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,0d2af24979dd01af38c80581beca7504d4ff508ee6547c64560320270494c635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260720,splink,clean_frozen,20260719,True,16342.0,8165.0,46535.0,1.0,0.7362784471218207,0.7409675443968157,0.7386155536564522,0.9986013472769922,2167.0,2167.0,1.0,2167.0,0.9999999999998234,0.9999995246025223,0.001158135937865692,2167.0,0.8815114709851553,0.3880054100290566,b0d5778f270c896cc83a53dfe8a22acbb20898fbddb44b226b6953d927506909,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,0d2af24979dd01af38c80581beca7504d4ff508ee6547c64560320270494c635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260720,learned,clean_frozen,20260719,True,16342.0,8165.0,46535.0,1.0,0.9993445846305096,0.7469687691365585,0.8549201009251473,0.6500030591266042,4.0,0.0,0.0,2167.0,0.9999920993841217,2.4404312294764534e-05,2.5680770221637143e-05,2167.0,0.9886820007301935,0.006297369377908123,234f49ad69aee415a982ea2aac6fee97611ec496ec5ad031708bc8d492ecdf9f,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,0d2af24979dd01af38c80581beca7504d4ff508ee6547c64560320270494c635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260721,baseline,clean_frozen,20260719,True,16336.0,8164.0,45997.0,1.0,0.9837477653177312,0.7414257716805488,0.8455682056296712,0.65,100.0,99.0,0.99,2183.0,1.0000000000000002,0.6,0.3925,2183.0,0.8512733924299986,1.0000000000000002,708dd651cf6fe30e5362d7aa3425941bd688bab488b5786d77b747cbcc3432e2,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,d876917e68a5d2f1f9afa56dab8193901c16bca5310b17ba18ad13f3ad52aef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260721,splink,clean_frozen,20260719,True,16336.0,8164.0,45997.0,1.0,0.734854922908826,0.7414257716805488,0.738125724041217,0.9986013472769922,2184.0,2183.0,0.9995421245421245,2183.0,0.9999999999998234,0.9999995246025223,0.001158135937865692,2183.0,0.8811656772800862,0.3880054100290566,a7dc0b53decbd6c041987b8095910d0bf7ca210d4f4815a301a262e4f46b0041,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,d876917e68a5d2f1f9afa56dab8193901c16bca5310b17ba18ad13f3ad52aef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260721,learned,clean_frozen,20260719,True,16336.0,8164.0,45997.0,1.0,0.9995074700377606,0.7457128858402744,0.854156436338127,0.6500030591266042,3.0,2.0,0.6666666666666666,2183.0,0.9999920993841217,2.4404312294764534e-05,8.042802525218615e-05,2183.0,0.9867718446601942,0.0062973693779081056,9e90ed2de7dbad376c22dd4ebc263c8b9234f19da61b70e93f6abbc9ed57c7ea,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,d876917e68a5d2f1f9afa56dab8193901c16bca5310b17ba18ad13f3ad52aef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260722,baseline,clean_frozen,20260719,True,16372.0,8183.0,46732.0,1.0,0.9877650897226754,0.7399486740804107,0.846083979598966,0.65,75.0,73.0,0.9733333333333334,2179.0,1.0000000000000002,0.6,0.34826388888888893,2179.0,0.8501370055504813,1.0000000000000002,c055d29eb99fdfc6e91997a35b36ebbbd777d71fec7773003b6356a3d37086ee,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,1b8f6de260d16856d387ec1a4ed49d0031ce7a6c88a55f274ef5d2ba74deb3ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260722,splink,clean_frozen,20260719,True,16372.0,8183.0,46732.0,1.0,0.7351869839728024,0.7399486740804107,0.7375601437359156,0.9986013472769922,2181.0,2179.0,0.9990829894543787,2179.0,0.9999999999998234,0.9999995246025223,0.001158135937865692,2179.0,0.8813139472267096,0.3880054100290566,6c8f0af712031e05174ac607f9f90c4c5679f57c711dcbb2d4e03cf75d517008,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,1b8f6de260d16856d387ec1a4ed49d0031ce7a6c88a55f274ef5d2ba74deb3ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260722,learned,clean_frozen,20260719,True,16372.0,8183.0,46732.0,1.0,1.0,0.7444702431870952,0.8535201401050788,0.6500030591266042,0.0,0.0,0.0,2179.0,0.9999920993841217,2.4404312294764534e-05,3.8211473980394346e-05,2179.0,0.9890723652258377,0.006297369377908123,fdaaf8b11c2f2666f07e1c8f171ce158465ea66f5ead0badd8668e095f3af8d6,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,1b8f6de260d16856d387ec1a4ed49d0031ce7a6c88a55f274ef5d2ba74deb3ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_seed,adoption_blended_family,20260723,baseline,clean_frozen,20260719,True,16348.0,8169.0,45818.0,1.0,0.9876060013046314,0.7413392092055331,0.8469337808544858,0.65,76.0,76.0,1.0,2160.0,1.0000000000000002,0.6,0.33651515151515154,2160.0,0.850974048807933,1.0000000000000002,0d31b42524c6069bb2bce1437e72513a8b3581941b33ea31360ca6f4da5ca7da,phase2/runs/2026-07-24_e2_adoption_blended_family_s20260723_seed20260723,1cd90a2783a8b3e35523d4093eac25d3fd0bff4bf6547b180b3d3e3aa30179f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
