seed,condition,run_id,dataset_a_sha256,dataset_b_sha256,entity_map_sha256,truth_signature_sha256
20260720,clean,2026-07-22_e1_clean_s20260720_seed20260720,a2fc4fd8231728056059a8662703e373cde3f289aee9c49bc053dc55d094356d,e76f10cd98a0b707e491a0809110b5e624041bd740a8500c1f6206e7578a50d7,e1028c7070853642793c6f35d6288242ac72e345c5d91f1d04b3efc51d082b4c,a57165bd5b4a3e972351fe331b6e91bd8159997643729e3caf2b7ea474396655
20260720,high_noise,2026-07-22_e1_high_noise_s20260720_seed20260720,a2fc4fd8231728056059a8662703e373cde3f289aee9c49bc053dc55d094356d,773a12bc3a44eb7cba0fda04ab965d3bf6bbd37e17458d6b1c91c9e4a5da1193,e1028c7070853642793c6f35d6288242ac72e345c5d91f1d04b3efc51d082b4c,a57165bd5b4a3e972351fe331b6e91bd8159997643729e3caf2b7ea474396655
20260720,low_overlap,2026-07-22_e1_low_overlap_s20260720_seed20260720,3a62ed20874195e90d630621b1661811658a99d7c592a9f92556dc829df3bf46,e959eb14cf990509aa547100612b07d992e0c85fa1020e1499c92456ce33181b,a0fc402bf7e51d618bc448611034d906e0cf45930ac683490050f83b43fc1728,a57165bd5b4a3e972351fe331b6e91bd8159997643729e3caf2b7ea474396655
20260720,one_to_many,2026-07-22_e1_one_to_many_s20260720_seed20260720,6ee07eae8cefa05f82d1d1bc8a64602c405f7b4d735a3a8a1f4d1dc906587441,a1978f36f871af3506552bcc1c73d9d94677115f883463324dd4a4a3bac14dec,5da4639a900d07588cdb5803e25e891b77942a2391d28a0d4a1b237c87e1228b,a57165bd5b4a3e972351fe331b6e91bd8159997643729e3caf2b7ea474396655
20260721,clean,2026-07-22_e1_clean_s20260721_seed20260721,e06bf3b3eed4778da509a1feff23689b9b8a58efb3210ce24fe6f2e557642c96,2bc87ef41a0934c4a087cbf58ba76da4e5906a87fcbe7c6916887fa36cbe788d,79c3b3970e78f1cee04eaecb1b38ed8c896a806818a630f48b7d74f08d2003ab,5b2699fa038b9d424ba9949877bcc8b022c936dd5105a10b57d8a03fa3ce1332
20260721,high_noise,2026-07-22_e1_high_noise_s20260721_seed20260721,e06bf3b3eed4778da509a1feff23689b9b8a58efb3210ce24fe6f2e557642c96,7de1ba925e940d7d78cd9ece98d00d3f693493ce6d2d81320ebfdbe29fc2e3ba,79c3b3970e78f1cee04eaecb1b38ed8c896a806818a630f48b7d74f08d2003ab,5b2699fa038b9d424ba9949877bcc8b022c936dd5105a10b57d8a03fa3ce1332
20260721,low_overlap,2026-07-22_e1_low_overlap_s20260721_seed20260721,627a98a984aa2532b2ca92c66791fd87df965cc5fe80a90d0739eb88af54a671,7602b705f0cbf02edd065d6990c478c364faad137849d8e280b7263cd3f626e7,e9e48f92569d60441b1b8c389d0e6bd496961ece484de4ffd4d7a1fb0f23b47f,5b2699fa038b9d424ba9949877bcc8b022c936dd5105a10b57d8a03fa3ce1332
20260721,one_to_many,2026-07-22_e1_one_to_many_s20260721_seed20260721,cfaa4529d6d7f93c79dcc7b2b477827da664f573740d214c63fdfbbbf49d35d1,a8b9b52930bc3318809b5a529bd6609df12dc22cfb65ff3dc588ba77ace51c54,6fac36ec675626533827a980d713396446bd117661b9b986d41c181994696d4c,5b2699fa038b9d424ba9949877bcc8b022c936dd5105a10b57d8a03fa3ce1332
20260722,clean,2026-07-22_e1_clean_s20260722_seed20260722,32c81fe3a9e5d819a2568476f1dace73eec8df86a39a3f8f5859d16153efa967,6e3c0ec1dafbcfb94db76450dd3195e8366d1e9129d4481a7ad635ea1f390b45,a84df9f115956cd8459986b7e067f03b4e40eaf29f4c22cd1a2194f26eb3bd8e,af269eb28d4e91c5233f052e21b5a15eeb8105d98c68b812b645b67c0dafbdbc
20260722,high_noise,2026-07-22_e1_high_noise_s20260722_seed20260722,32c81fe3a9e5d819a2568476f1dace73eec8df86a39a3f8f5859d16153efa967,2445565faa9dfb5499fe5a0389b8be6e35e6437325274b85ee04c411ecde7db1,a84df9f115956cd8459986b7e067f03b4e40eaf29f4c22cd1a2194f26eb3bd8e,af269eb28d4e91c5233f052e21b5a15eeb8105d98c68b812b645b67c0dafbdbc
20260722,low_overlap,2026-07-22_e1_low_overlap_s20260722_seed20260722,dc867b581ddb7333aa8c4c9745c9239991821203a35bb33532747658b9dedcee,c718507c1e3d2507083aaeb6306e2914b2d8773132ebaba3360c97334f781909,5860551a388c6e224445a117c1766e0a777614b355fc5fc4d6cdc2fe8ab5afa9,af269eb28d4e91c5233f052e21b5a15eeb8105d98c68b812b645b67c0dafbdbc
20260722,one_to_many,2026-07-22_e1_one_to_many_s20260722_seed20260722,f6de5d11c321d0bb7de2ccb5246abf67174653ac93488750ae88252b8ca2bd88,b671efe444488e4516f1d2d1802c90657258b171ae4dd2d1d472c12e13069e15,cbda97a77fefafd2f4ad1a454a4f93d98a2fefdd87e24ab19d6e028c43ee89f2,af269eb28d4e91c5233f052e21b5a15eeb8105d98c68b812b645b67c0dafbdbc
20260723,clean,2026-07-22_e1_clean_s20260723_seed20260723,65de1b525db9d49ee938af6bde134a827c6c6978e14d8e26e0ed5cdf6116fc41,6d07a861a51a255b04f6d2b9edfc0ebadc3bda55d41dfd986868155a9ea0526a,6d86e4e98fbd34be6f4234d810d53222584e573b7d49e42d88a06bd910597329,56fbd2e2b1637b53589892e0eae17e723b27720b1e7c236ebb026f233bfc8126
20260723,high_noise,2026-07-22_e1_high_noise_s20260723_seed20260723,65de1b525db9d49ee938af6bde134a827c6c6978e14d8e26e0ed5cdf6116fc41,32ba2b0ce25201ad363a9899eed1dac7fea5c51a95d9b693df32ffa0edd31ff7,6d86e4e98fbd34be6f4234d810d53222584e573b7d49e42d88a06bd910597329,56fbd2e2b1637b53589892e0eae17e723b27720b1e7c236ebb026f233bfc8126
20260723,low_overlap,2026-07-22_e1_low_overlap_s20260723_seed20260723,7e16598ed06abda6011b79e151390341344e1b85e9edd9ec95eb855460b02df7,e6ce98dc558f57525348ddcf0fc11dc50ef01baba31e1079f45640fffa79456a,8cf29a587812b9d3c0c87a47e9b274f454757a1eaab413593e6458daf0210a33,56fbd2e2b1637b53589892e0eae17e723b27720b1e7c236ebb026f233bfc8126
20260723,one_to_many,2026-07-22_e1_one_to_many_s20260723_seed20260723,41ec8e8580435bdc3083333602835786303be52326948b98072fb0389cb6b22f,77344f16d57b9befd1be81343567260a573c5e890f479950f888ecfcbd4c0566,8f970ad3d5582a439473ddbf98a261d616eaade33fc44889966b5e19a1c3a250,56fbd2e2b1637b53589892e0eae17e723b27720b1e7c236ebb026f233bfc8126
20260724,clean,2026-07-22_e1_clean_s20260724_seed20260724,a847d476d52a699d24f2c16ae0bce7be665d796a74124eae203c24eed95fdf9c,5cc7f528f3a20e102f2b9da406846dcb999f2026d9d89922361208e2a0cf6309,3b1a4cb03f50c1e38f9147b4c32e7b5555bf7768fe63b383fb65c06d83d1b542,1f302f14a5f0f9ac4296300a9ae7beccf08ac3ca3b5af6c56b44cf2d8714cce7
20260724,high_noise,2026-07-22_e1_high_noise_s20260724_seed20260724,a847d476d52a699d24f2c16ae0bce7be665d796a74124eae203c24eed95fdf9c,217fc53343d71254f9ed010d6bd251c3b2e30daa7c9d0e547ced96874bbcec48,3b1a4cb03f50c1e38f9147b4c32e7b5555bf7768fe63b383fb65c06d83d1b542,1f302f14a5f0f9ac4296300a9ae7beccf08ac3ca3b5af6c56b44cf2d8714cce7
20260724,low_overlap,2026-07-22_e1_low_overlap_s20260724_seed20260724,db6a904e1c317ef0b61cb1b1f21534b56bb62176369aef9479b2f72432bcc892,f393eafea55c6d4f283881dbc0c02c454118cc8ce39038f1762856a5bf17a721,bc0dd9e54d177a6cc320ab500957a7bbf45bc5b945d9878ed63cf610280e7dd4,1f302f14a5f0f9ac4296300a9ae7beccf08ac3ca3b5af6c56b44cf2d8714cce7
20260724,one_to_many,2026-07-22_e1_one_to_many_s20260724_seed20260724,89262b3cf37004ff40f49d9c18c861097dad75adcd152139515fd15a9f4223ce,2e8d660b86906f1a9b2acf189f321fd988037bbf7a69ce8976e898f5120041c7,503b52c053e6e57a0b9764b9f20788c02f0d2259e99111bb887db90025f6e8d2,1f302f14a5f0f9ac4296300a9ae7beccf08ac3ca3b5af6c56b44cf2d8714cce7
