scenario,matcher,f1_mean,f1_std,closure_f1_mean,closure_f1_std,b3_precision_mean,b3_precision_std,b3_recall_mean,b3_recall_std,b3_f1_mean,b3_f1_std
adoption_blended_family,baseline,0.8460481758729547,0.0005027309240512102,0.8459594943483777,0.0004853922632353442,0.9923851857449228,0.0009692183515648003,0.8709071219976938,0.00041564697857326266,0.9276858607829823,0.0002960625383279468
adoption_blended_family,learned,0.8547041623587646,0.0007268973463031061,0.8547041623587646,0.0007268973463031061,0.9998530229261732,0.00011621658441551518,0.8733252945145343,0.0006052397418230219,0.9323157491467041,0.00032225335414737564
adoption_blended_family,splink,0.7391133008020859,0.000883152490005981,0.7387750884692681,0.0008941558405988921,0.8242395620817957,0.0005615028525758549,0.870913248697853,0.00042212278071073004,0.8469338145194302,0.0004607862341534161
asymmetric_source_coverage,baseline,0.9970080371068066,0.0008362950835434681,0.9969960079291834,0.0008490738739353763,0.9996242968020047,0.0001879949957640824,0.9896336784858063,0.0007419238904564088,0.9946038108591422,0.00044560916952154504
asymmetric_source_coverage,learned,0.9989678789007892,0.0003721418679838186,0.9989678789007892,0.0003721418679838186,0.999929895366795,9.665176192228178e-05,0.9905057997457215,0.0006700733400089409,0.9951954246301922,0.00032784731443586323
asymmetric_source_coverage,splink,0.9944522980607896,0.000985249099526519,0.9941068178991443,0.0010235496015847897,0.9977419751914732,0.0004460350751932568,0.9896476958742451,0.0007418665785487209,0.9936782046705422,0.00046248820739500134
clean_baseline_linkage,baseline,0.9991648382738194,0.00021931105610331798,0.9991281014307039,0.00023254504605258212,0.9994282478358032,0.0001733139601987212,0.999158321722166,0.00020594186771159438,0.9992932538879105,0.0001488869554396753
clean_baseline_linkage,learned,0.9997689156033586,0.00015293786158646056,0.9997636670868749,0.0001589248685885932,0.9998098250157673,0.00013268787468715535,0.9993939423316835,0.0001804644116344094,0.9996018280350203,0.00010648922458962964
clean_baseline_linkage,splink,0.9974410950006349,0.0002508194463562024,0.9973940413856404,0.0002674029208454308,0.9977049052986766,0.00031166717284912104,0.9991480826347556,0.0002132396841668599,0.9984259248247878,0.00013601181317502247
couple_merge,baseline,0.8702410481094722,0.003050806884037144,0.8701472557053951,0.0030584649392679645,0.9985439127801333,0.0004020474977873305,0.8501433474661821,0.003657852996856657,0.9183829749733625,0.002011673853746626
