scenario,matcher,co_resident_nonmatch_count_mean,co_resident_nonmatch_count_std,co_resident_score_median_mean,co_resident_score_median_std,random_nonmatch_score_median_mean,random_nonmatch_score_median_std,true_match_score_median_mean,true_match_score_median_std,false_positives_mean,false_positives_std,false_positive_rate_mean,false_positive_rate_std,co_resident_false_positives_mean,co_resident_false_positives_std,co_resident_fp_share_mean,co_resident_fp_share_std
clean_baseline_linkage,baseline,40.1,4.931756504757939,0.5719621212121211,0.02384781020826474,0.43117857142857147,0.05059959365005831,1.0000000000000002,0.0,10.5,3.1710495984067415,0.00018650901030338934,5.6064621045259575e-05,7.2,2.043961295567452,0.7085880785880786,0.13208310643576102
clean_baseline_linkage,learned,40.1,4.931756504757939,0.0008006240095563656,0.000829440827128123,7.252744914735515e-05,2.4983815318767203e-05,0.9999920993841217,0.0,3.6,2.4585451886114367,6.396217265654257e-05,4.3442817709464846e-05,1.2,1.6193277068654826,0.24166666666666664,0.3610042576952162
clean_baseline_linkage,splink,40.1,4.931756504757939,0.9999995612622821,1.1592833945946436e-07,0.10779891716622958,0.04259617682791773,0.9999999999998235,0.0,43.1,5.586690532964135,0.0007655913636524639,9.90095754238599e-05,40.1,4.931756504757939,0.9320941921893067,0.040376430857624906
couple_merge,baseline,257.2,21.185949222171857,0.6,0.0,0.35659243283352315,0.033251326651997974,0.65,0.0,20.3,6.30784344200844,0.0005830484519802161,0.00019312022609338457,17.6,7.275529763071095,0.8588220551378447,0.13722450072489137
couple_merge,learned,257.2,21.185949222171857,2.4404312294764534e-05,0.0,4.503034823518693e-05,3.095527128421392e-05,0.9945853685418043,0.0,2.7,3.1287200080686173,7.756947515273217e-05,8.997910869711836e-05,0.5,1.2692955176439846,0.2,0.4216370213557839
couple_merge,splink,257.2,21.185949222171857,0.9999995246025224,0.0,0.0011224875983713164,0.00011272994760516224,0.9986013472769922,0.0,260.6,19.58570907575215,0.00745784668449064,0.0006022676357766729,257.2,21.185949222171857,0.9864786482875522,0.011517000920341927
family_birth,baseline,915.0,30.915655868471845,0.6,0.0,0.35821916664403036,0.0260542023520467,1.0000000000000002,0.0,41.8,8.283853102404835,0.0013208718841257344,0.00026184193571227406,40.5,7.905694150420948,0.9697447767191493,0.038864861896902046
family_birth,learned,915.0,30.915655868471845,2.4404312294764534e-05,0.0,4.9624208736166235e-05,2.8039052872246553e-05,0.9999920993841217,0.0,3.2,3.0840089349921005,0.00010105553799950732,9.761302244497981e-05,1.5,1.4337208778404378,0.4438095238095238,0.45231578477983464
family_birth,splink,915.0,30.915655868471845,0.9999995246025224,0.0,0.001158135937865692,0.0,0.9999999999998235,0.0,920.8,30.727475942188573,0.029097900205728028,0.0010570675095887138,915.0,30.915655868471845,0.9936936236047261,0.002976825243139376
roommates_split,baseline,47.8,12.15456018675021,0.5730194805194805,0.0508235179328963,0.4227379120879121,0.05018279859038354,1.0000000000000002,0.0,13.8,7.913420387052758,0.00017166094121214562,9.920608525515137e-05,8.5,6.553201083779167,0.616481684981685,0.21964141771676157
roommates_split,learned,47.8,12.15456018675021,0.0006338943408337338,0.0007656722627945726,6.684570599521246e-05,2.881587677274424e-05,0.9999920993841217,0.0,5.8,4.366539438350084,7.204645415671113e-05,5.412684001140619e-05,1.4,2.065591117977289,0.20833333333333334,0.30238251468162836
roommates_split,splink,47.8,12.15456018675021,0.9999753464196772,7.671589740048944e-05,0.0889729472065028,0.06076660906195969,0.9999999999998235,0.0,67.4,10.87504789261485,0.0008363539199081999,0.00013308347069380033,47.8,12.15456018675021,0.7010108683304883,0.10076454331424879
