scenario,seed,matcher,co_resident_nonmatch_count,co_resident_score_median,random_nonmatch_score_median,true_match_score_median,false_positives,false_positive_rate,co_resident_false_positives,co_resident_fp_share
clean_baseline_linkage,20260720,baseline,38,0.5499999999999999,0.45,1.0000000000000002,12,0.0002103602419142782,8,0.6666666666666666
clean_baseline_linkage,20260720,splink,38,0.9999995246025223,0.1267123382008275,0.9999999999998234,42,0.0007362608466999737,38,0.9047619047619048
clean_baseline_linkage,20260720,learned,38,0.0007486733462239597,8.042802525218615e-05,0.9999920993841217,4,7.012008063809273e-05,0,0.0
clean_baseline_linkage,20260721,baseline,40,0.6,0.45,1.0000000000000002,10,0.00017512214769801936,8,0.8
clean_baseline_linkage,20260721,splink,40,0.9999995246025223,0.1267123382008275,0.9999999999998234,41,0.0007180008055618795,40,0.975609756097561
clean_baseline_linkage,20260721,learned,40,2.4404312294764534e-05,8.042802525218615e-05,0.9999920993841217,1,1.7512214769801936e-05,0,0.0
clean_baseline_linkage,20260722,baseline,44,0.5791666666666666,0.28928571428571426,1.0000000000000002,13,0.00022615775373160293,7,0.5384615384615384
clean_baseline_linkage,20260722,splink,44,0.9999995246025223,0.0003552289863292514,0.9999999999998234,50,0.000869837514352319,44,0.88
clean_baseline_linkage,20260722,learned,44,2.4404312294764534e-05,1.422264203876084e-06,0.9999920993841217,6,0.00010438050172227828,3,0.5
clean_baseline_linkage,20260723,baseline,29,0.5499999999999999,0.45,1.0000000000000002,11,0.0001966322262343141,8,0.7272727272727273
clean_baseline_linkage,20260723,splink,29,0.9999995246025223,0.1267123382008275,0.9999999999998234,30,0.0005362697079117658,29,0.9666666666666667
clean_baseline_linkage,20260723,learned,29,0.0019191251568645964,8.042802525218615e-05,0.9999920993841217,3,5.362697079117658e-05,0,0.0
clean_baseline_linkage,20260724,baseline,43,0.5499999999999999,0.45,1.0000000000000002,3,5.276673584972034e-05,3,1.0
clean_baseline_linkage,20260724,splink,43,0.9999995246025223,0.1267123382008275,0.9999999999998234,43,0.0007563232138459915,43,1.0
clean_baseline_linkage,20260724,learned,43,0.0005663827283412517,8.042802525218615e-05,0.9999920993841217,0,0.0,0,0.0
clean_baseline_linkage,20260725,baseline,36,0.5499999999999999,0.4225,1.0000000000000002,13,0.00023230048961795505,8,0.6153846153846154
clean_baseline_linkage,20260725,splink,36,0.9999998912001203,0.06393523706934659,0.9999999999998234,41,0.0007326400057181659,36,0.8780487804878049
clean_baseline_linkage,20260725,learned,36,0.0019191251568645964,8.042802525218615e-05,0.9999920993841217,6,0.00010721561059290233,4,0.6666666666666666
clean_baseline_linkage,20260726,baseline,46,0.6,0.45,1.0000000000000002,12,0.00021307574842856634,9,0.75
clean_baseline_linkage,20260726,splink,46,0.9999995246025223,0.1267123382008275,0.9999999999998234,49,0.0008700593060833126,46,0.9387755102040817
clean_baseline_linkage,20260726,learned,46,0.0019191251568645964,8.042802525218615e-05,0.9999920993841217,8,0.00014205049895237758,2,0.25
clean_baseline_linkage,20260727,baseline,44,0.595,0.45,1.0000000000000002,7,0.00012732828870779976,4,0.5714285714285714
clean_baseline_linkage,20260727,splink,44,0.9999995246025223,0.1267123382008275,0.9999999999998234,47,0.000854918509895227,44,0.9361702127659575
clean_baseline_linkage,20260727,learned,44,2.4404312294764534e-05,8.042802525218615e-05,0.9999920993841217,3,5.456926658905704e-05,3,1.0
clean_baseline_linkage,20260728,baseline,41,0.5954545454545455,0.45,1.0000000000000002,12,0.00021228042243804065,9,0.75
clean_baseline_linkage,20260728,splink,41,0.9999995246025223,0.1267123382008275,0.9999999999998234,44,0.0007783615489394824,41,0.9318181818181818
clean_baseline_linkage,20260728,learned,41,0.0008170874293729431,8.042802525218615e-05,0.9999920993841217,2,3.538007040634011e-05,0,0.0
clean_baseline_linkage,20260729,baseline,40,0.5499999999999999,0.45,1.0000000000000002,12,0.0002190660484135967,8,0.6666666666666666
clean_baseline_linkage,20260729,splink,40,0.9999995246025223,0.1267123382008275,0.9999999999998234,44,0.0008032421775165212,40,0.9090909090909091
clean_baseline_linkage,20260729,learned,40,4.350818414741868e-05,8.042802525218615e-05,0.9999920993841217,3,5.476651210339917e-05,0,0.0
