scenario,matcher,f1_mean,f1_std,oracle_f1_mean,oracle_f1_std,oracle_threshold_mean,oracle_threshold_std,precision_mean,precision_std,recall_mean,recall_std,candidate_recall_mean,candidate_recall_std,fixed_minus_oracle_mean
adoption_blended_family,baseline,0.8460481758729547,0.0005027309240512102,0.851375552617214,0.0005631073419214175,1.0000000000000002,0.0,0.9846487530472215,0.0019511648216811153,0.7416545272344559,0.000820366713969272,1.0,0.0,-0.005327376744259316
adoption_blended_family,learned,0.8547041623587646,0.0007268973463031061,0.9880302678428956,0.0012369009175773463,0.0062973693779081,0.0,0.9996064361113609,0.0003111210842164097,0.7464939350982076,0.0011869768362259368,1.0,0.0,-0.13332610548413104
adoption_blended_family,splink,0.7391133008020859,0.000883152490005981,0.881572604642628,0.0005158963368060065,0.3880054100290566,0.0,0.7365777071647657,0.0010812667041837768,0.7416667896501519,0.0008330127988063993,1.0,0.0,-0.14245930384054206
asymmetric_source_coverage,baseline,0.9970080371068066,0.0008362950835434681,0.9972272152537339,0.0007358443834081448,0.6044444444444446,0.016101529717988238,0.9988923389308642,0.0005817852765520056,0.9951316658323359,0.0014060842536170249,0.9999040993477284,0.0001238076276366431,-0.0002191781469272902
asymmetric_source_coverage,learned,0.9989678789007892,0.0003721418679838186,0.9990881492560544,0.0003719853497023506,0.4880539258288845,0.11389053090348648,0.9998082328474551,0.00027191338214265675,0.9981293618196444,0.0008212103161082486,0.9999040993477284,0.0001238076276366431,-0.00012027035526518404
asymmetric_source_coverage,splink,0.9944522980607896,0.000985249099526519,0.9953860007841582,0.0007704964191054477,0.5827268764206824,0.0,0.9937754559531369,0.0013159074187648904,0.9951316658323359,0.0014060842536170249,0.9999040993477284,0.0001238076276366431,-0.000933702723368568
clean_baseline_linkage,baseline,0.9991648382738194,0.00021931105610331798,0.9991701016828698,0.0002155878001528745,0.6444791666666667,0.011948178518393776,0.9988973510739063,0.0003327476160188402,0.9994325067099192,0.00016593289653399592,1.0,0.0,-5.263409050382251e-06
clean_baseline_linkage,learned,0.9997689156033586,0.00015293786158646056,0.9998634049922195,8.288492337786817e-05,0.8250925514433313,0.1306570031736045,0.9996219421504818,0.0002580751719473881,0.9999159585485058,9.652643837197643e-05,1.0,0.0,-9.448938886091884e-05
clean_baseline_linkage,splink,0.9974410950006349,0.0002508194463562024,0.9974464511923273,0.00025362847351756104,0.9570139001913613,0.13151105486232542,0.9954890800418006,0.0005813298981629254,0.9994010006860385,0.0001720356763107102,1.0,0.0,-5.356191692396095e-06
couple_merge,baseline,0.8702410481094722,0.003050806884037144,0.873330704612911,0.0027974288785251517,0.6000000000000001,0.0,0.9974952652465416,0.0007582765294748643,0.7717973231357552,0.0050991873649380995,0.9981070745697898,0.0003514097833547953,-0.0030896565034387313
couple_merge,learned,0.8870903388540862,0.0023736732695235226,0.9852910267114607,0.0013529246455035167,0.0062973693779081,0.0,0.9996763254608962,0.00037530994029257134,0.7973040152963671,0.0038086047136536797,0.9981070745697898,0.0003514097833547953,-0.09820068785737457
couple_merge,splink,0.8591022072628004,0.0031612797815143783,0.9790080409017777,0.0010797022309822937,0.3880054100290566,0.0,0.9687353660621942,0.002223177492567644,0.7717782026768643,0.005185840694603686,0.9981070745697898,0.0003514097833547953,-0.11990583363897733
death_survivor_persistence,baseline,0.9996613358179754,0.0004759218926870524,1.0,0.0,1.0000000000000002,0.0,0.9993233080793299,0.0009508378135881938,1.0,0.0,1.0,0.0,-0.0003386641820245506
death_survivor_persistence,learned,0.9998306041784304,0.0002727531855107891,1.0,0.0,0.9999920993841215,0.0,0.9996613995485328,0.0005451985231824572,1.0,0.0,1.0,0.0,-0.00016939582156960675
death_survivor_persistence,splink,0.9982523133690148,0.0008580668279922265,1.0,0.0,0.9999999999998235,0.0,0.9965120434647832,0.0017103977248984921,1.0,0.0,1.0,0.0,-0.0017476866309852346
divorce_custody,baseline,0.9910110884906101,0.0007945421803858151,0.9915090608423324,0.0005664849716968494,0.6012700534759359,0.0026865781853292847,0.9989917640908409,0.0003426731696449829,0.9831578803693244,0.0014747622397940658,0.9994103203729997,0.0002671013826077753,-0.0004979723517222201
divorce_custody,learned,0.9939857947685482,0.000643858541610433,0.994542080762319,0.000592894628607977,0.38290797740409005,0.039933886440270024,0.9997127618724505,0.00022372113719699744,0.9883247944052105,0.0012500154410617554,0.9994103203729997,0.0002671013826077753,-0.0005562859937707776
divorce_custody,splink,0.9875208680824457,0.0007478080853728675,0.9927374807024598,0.0004024120618034216,0.3880054100290566,0.0,0.9919571191903653,0.0006805654601993712,0.9831255651710082,0.0014927226352288811,0.9994103203729997,0.0002671013826077753,-0.0052166126200141605
family_birth,baseline,0.932342579439297,0.002713920681536665,0.932342579439297,0.002713920681536665,0.65,0.0,0.9944285044598624,0.0011003213297705017,0.877564705882353,0.004723187137095659,0.9978470588235295,0.0007146514140464001,0.0
family_birth,learned,0.9377437679400307,0.0028183638379438375,0.9875688763779907,0.0011833782525552824,0.0062973693779081,0.0,0.9995744432503025,0.00040807069230759137,0.8831294117647058,0.005054778744752368,0.9978470588235295,0.0007146514140464001,-0.049825108437960064
family_birth,splink,0.8838616789314445,0.0037034413524117986,0.944117266266215,0.001604507327052284,0.3880054100290566,0.0,0.890136241000574,0.0035467248083914,0.8776823529411765,0.004689858339207065,0.9978470588235295,0.0007146514140464001,-0.06025558733477043
high_duplication_dedup,baseline,0.9960222095833455,0.0005234096979002456,0.9961567664297706,0.00047835947746915214,0.6196103896103897,0.023263716432235425,0.9983134931127218,0.0006908052815172959,0.9937427201277549,0.0012285983471103563,0.999166889857209,0.0004432041901000921,-0.00013455684642504906
high_duplication_dedup,learned,0.9982635875454828,0.0004650799075164689,0.9985553361656694,0.0003911507877652769,0.5790312514337962,0.08707315183452156,0.9995157900745436,0.0002849509055093048,0.9970148884464349,0.0008718005299377962,0.999166889857209,0.0004432041901000921,-0.00029174862018654935
high_duplication_dedup,splink,0.992522459680756,0.0005886431630734256,0.9938274330296115,0.0007599526235030506,0.572869975828492,0.008483469297505685,0.9913408326212314,0.0015998175316618585,0.9937100623954096,0.0012654264751273292,0.999166889857209,0.0004432041901000921,-0.001304973348855487
high_noise_identity_drift,baseline,0.9807291641861351,0.001094845648652728,0.9907715153320332,0.0007427621872131228,0.55,0.0,0.9989786671653607,0.00032251453189428554,0.9631365291972038,0.002092617152734346,0.9972522994681304,0.0004687840846070439,-0.010042351145898132
high_noise_identity_drift,learned,0.9931342335373097,0.0006523461940632443,0.995260067394525,0.00039558002741153894,0.07150826644886285,0.010499877805796642,0.9996920541827242,0.00017658946459253342,0.9866626300101347,0.0012719199163608427,0.9972522994681304,0.0004687840846070439,-0.00212583385721532
high_noise_identity_drift,splink,0.9783621498029692,0.0012422012521593482,0.992064848009856,0.0009453056208184625,0.5662987087670317,0.0,0.9952084571675559,0.0007901790082829862,0.962078985922506,0.0021986572558667897,0.9972522994681304,0.0004687840846070439,-0.013702698206886743
low_overlap_sparse_coverage,baseline,0.9970652654690909,0.0007799055288015977,0.9971772004153824,0.0008098886895574925,0.63016930171278,0.022174540678155153,0.9982217662326974,0.0009332175812389077,0.9959128039493429,0.0013617380480546015,1.0,0.0,-0.00011193494629146983
low_overlap_sparse_coverage,learned,0.9988221523969806,0.0004337471775648479,0.9989109733556303,0.00046357193838061195,0.6051866967473185,0.09015793561150165,0.9995997756882173,0.00032798682865425535,0.9980460204479623,0.0007625698644845604,1.0,0.0,-8.882095864970463e-05
low_overlap_sparse_coverage,splink,0.9940371082334076,0.0010564856407543751,0.9945351395310068,0.0009526720447749214,0.6443737004707517,0.13746179962424335,0.9922140663709215,0.00146467014299986,0.9958684383770271,0.0013494357889409093,1.0,0.0,-0.0004980312975991774
name_change_lifecycle,baseline,0.9998849325567531,9.902373625957111e-05,1.0,0.0,0.7500000000000001,0.0,0.9997699092344596,0.00019798841714382484,1.0,0.0,1.0,0.0,-0.00011506744324685236
name_change_lifecycle,learned,0.9999360687386935,6.0271310638874696e-05,0.9999680335519525,4.5206613681912715e-05,0.8136698834838331,1.1102230246251565e-16,0.999872152188445,0.0001205214346919566,1.0,0.0,1.0,0.0,-3.196481325906664e-05
name_change_lifecycle,splink,0.9983659089950955,0.00026395489159265106,1.0,0.0,0.9999999998010238,0.0,0.9967372745771403,0.000526170241441085,1.0,0.0,1.0,0.0,-0.0016340910049045254
roommates_split,baseline,0.9906942469602574,0.0003001968977307805,0.9944667744557278,0.0006166291775599657,0.55,0.0,0.9990727606241985,0.0005296270172148427,0.9824556722895064,0.0007351484956030303,0.9997487933833951,0.00016716324191745196,-0.0037725274954704124
roommates_split,learned,0.9972148517645083,0.00028388208659537324,0.9974786063200748,0.0003033523398668048,0.42491479402775206,0.13297948898467132,0.999614702704136,0.0002901528914994458,0.9948265788358663,0.00041030216851531203,0.9997487933833951,0.00016716324191745196,-0.00026375455556648664
roommates_split,splink,0.9888823310437094,0.0005945722362797604,0.9946631995397069,0.00046911581660805617,0.5777984261245872,0.00793555889062052,0.9954823948299829,0.000724998114748752,0.9823696493013406,0.0008184733819846324,0.9997487933833951,0.00016716324191745196,-0.005780868495997571
single_movers,baseline,0.9784200556247022,0.0012158443494453145,0.9935353273465417,0.0005982787663458065,0.5494959687052079,0.0008310986525339968,0.9994531408974657,0.00021297810353486884,0.9582565756973256,0.0023454491990479876,0.9997854542773827,0.0001466295296635264,-0.015115271721839463
single_movers,learned,0.9939591297302774,0.0008016834776747549,0.9966228394046934,0.0005421254089861152,0.1488161320578917,0.10737216910746089,0.9996746975881567,0.00025393657153151283,0.9883097730048462,0.0015971922184303963,0.9997854542773827,0.0001466295296635264,-0.0026637096744159816
single_movers,splink,0.977252539505338,0.0012258210078005336,0.9922704400106964,0.0009331911385208775,0.5695843422977618,0.006926723675818723,0.9974065594736012,0.0004562551627354512,0.9578991034220412,0.002243104450759497,0.9997854542773827,0.0001466295296635264,-0.01501790050535845
three_source_partial_overlap,baseline,0.9979099017716024,0.00019550764551818433,0.9979971164174574,0.00022414986893061904,0.6271021505376344,0.024338823754403587,0.9988353191294197,0.00027854637849744363,0.9969862302662639,0.00018776032595915385,0.9998958754565184,0.00012438456933493727,-8.721464585492722e-05
