condition,seed,run_id,records,true_pairs,candidate_pairs,candidate_recall,candidate_seconds,matcher,threshold,tp,fp,fn,predicted,precision,recall,f1,oracle_threshold,oracle_precision,oracle_recall,oracle_f1,closure_tp,closure_fp,closure_fn,closure_precision,closure_recall,closure_f1,b3_precision,b3_recall,b3_f1,predicted_clusters,truth_clusters
clean,20260720,2026-07-22_e1_clean_s20260720_seed20260720,19640,9510,66778,1.0,13.239350499992725,baseline,0.65,9489,14,21,9503,0.9985267810165211,0.9977917981072555,0.9981591542628728,0.65,0.9985267810165211,0.9977917981072555,0.9981591542628728,9489,14,21,0.9985267810165211,0.9977917981072555,0.9981591542628728,0.9992617107942974,0.9977936184657161,0.9985271250117363,10144,10109
clean,20260720,2026-07-22_e1_clean_s20260720_seed20260720,19640,9510,66778,1.0,13.239350499992725,learned,0.6500030591266042,9497,4,13,9501,0.9995789916850858,0.9986330178759201,0.9991057808637105,0.8136698834838333,0.9995789916850858,0.9986330178759201,0.9991057808637105,9497,4,13,0.9995789916850858,0.9986330178759201,0.9991057808637105,0.99979633401222,0.9982179226069247,0.9990065048449108,10142,10109
clean,20260720,2026-07-22_e1_clean_s20260720_seed20260720,19640,9510,66778,1.0,13.239350499992725,splink,0.9986013472769922,9489,128,21,9617,0.9866902360403452,0.9977917981072555,0.9922099649709836,0.9986013472769922,0.9866902360403452,0.9977917981072555,0.9922099649709836,9489,130,21,0.9864850816093149,0.9977917981072555,0.9921062261487793,0.9920332654446707,0.9980991174473861,0.9950569471965416,10040,10109
clean,20260721,2026-07-22_e1_clean_s20260721_seed20260721,19608,9524,66693,1.0,14.017828299998655,baseline,0.65,9514,15,10,9529,0.9984258579074404,0.99895002099958,0.9986878706765339,0.65,0.9984258579074404,0.99895002099958,0.9986878706765339,9514,16,10,0.998321091290661,0.99895002099958,0.9986354571218641,0.9992112063103495,0.9991330069359445,0.9991721050930948,10087,10078
clean,20260721,2026-07-22_e1_clean_s20260721_seed20260721,19608,9524,66693,1.0,14.017828299998655,learned,0.6500030591266042,9514,1,10,9515,0.9998949027850762,0.99895002099958,0.9994222385629498,0.5064596882584461,0.99989491382934,0.999055018899622,0.9994747899159664,9514,1,10,0.9998949027850762,0.99895002099958,0.9994222385629498,0.9999320005439956,0.9991330069359445,0.9995323440676274,10094,10078
clean,20260721,2026-07-22_e1_clean_s20260721_seed20260721,19608,9524,66693,1.0,14.017828299998655,splink,0.9986013472769922,9514,108,10,9622,0.9887757223030555,0.99895002099958,0.9938368327588007,0.9986013472769922,0.9887757223030555,0.99895002099958,0.9938368327588007,9514,109,10,0.9886729710069625,0.99895002099958,0.9937849271426333,0.9933632530939751,0.9991670066639468,0.996256677421254,10005,10078
clean,20260722,2026-07-22_e1_clean_s20260722_seed20260722,19651,9546,67370,1.0,12.947818000000552,baseline,0.65,9528,12,18,9540,0.9987421383647799,0.9981143934632307,0.9984281672430053,0.65,0.9987421383647799,0.9981143934632307,0.9984281672430053,9528,15,18,0.9984281672430053,0.9981143934632307,0.9982712556969983,0.9992197174019982,0.9987108374467795,0.9989652126176296,10120,10103
clean,20260722,2026-07-22_e1_clean_s20260722_seed20260722,19651,9546,67370,1.0,12.947818000000552,learned,0.6500030591266042,9536,5,10,9541,0.9994759459176187,0.9989524408129059,0.9992141247969822,0.8136698834838333,1.0,0.9989524408129059,0.9994759459176188,9536,5,10,0.9994759459176187,0.9989524408129059,0.9992141247969822,0.9997285973572169,0.9991349040761285,0.9994316625486432,10117,10103
clean,20260722,2026-07-22_e1_clean_s20260722_seed20260722,19651,9546,67370,1.0,12.947818000000552,splink,0.9986013472769922,9528,138,18,9666,0.9857231533209186,0.9981143934632307,0.9918800749531542,0.6866665383196928,0.9852257464614113,0.9989524408129059,0.9920416124837451,9528,141,18,0.9854173130623642,0.9981143934632307,0.9917252146760344,0.9914050175563583,0.9988126134378232,0.9950950299502519,10012,10103
clean,20260723,2026-07-22_e1_clean_s20260723_seed20260723,19646,9528,65724,1.0,13.000933000002988,baseline,0.65,9516,10,12,9526,0.9989502414444678,0.9987405541561712,0.9988453867954235,0.65,0.9989502414444678,0.9987405541561712,0.9988453867954235,9516,10,12,0.9989502414444678,0.9987405541561712,0.9988453867954235,0.999504564118226,0.9989310801180902,0.9992177398328218,10128,10112
