threshold,predicted,precision,recall,f1
inf,0,1.0,0.0,0.0
1.0000000000000002,163264,1.0,0.8749035411129212,0.9332784561210957
0.9833333333333334,163265,1.0,0.8749088999399811,0.9332815050032439
0.9818181818181819,163267,1.0,0.874919617594101,0.9332876027152555
0.9777777777777779,163269,1.0,0.8749303352482208,0.9332937003575542
0.9750000000000001,163276,1.0,0.8749678470376404,0.9333150415566303
0.9722222222222223,163277,1.0,0.8749732058647003,0.933318090229647
0.9714285714285715,163287,1.0,0.8750267941352997,0.9333485760013718
0.9687500000000001,163295,1.0,0.8750696647517792,0.9333729633641323
0.9684210526315791,163296,1.0,0.875075023578839,0.9333760117060679
0.9666666666666668,163323,1.0,0.8752197119094572,0.9334583103526124
0.9642857142857144,163338,1.0,0.8753000943153563,0.9335040263354918
0.9600000000000002,163383,1.0,0.8755412415330532,0.9336411507724485
0.9583333333333335,163404,1.0,0.8756537769013119,0.9337051301098248
0.9558823529411766,163405,1.0,0.8756591357283717,0.9337081765534422
0.9555555555555557,163406,1.0,0.8756644945554317,0.9337112229796523
0.953846153846154,163407,1.0,0.8756698533824916,0.9337142693884547
0.9500000000000002,163538,1.0,0.8763718597273429,0.9341131984943424
0.9454545454545455,163543,1.0,0.8763986538626426,0.9341284188821394
0.9444444444444446,163551,1.0,0.876441524479122,0.9341527705984995
0.9428571428571431,163582,1.0,0.87660764811798,0.9342471229903766
0.9423076923076925,163584,1.0,0.8766183657720998,0.9342532096678394
0.9375000000000001,163670,1.0,0.877079224899254,0.9345148710452841
0.9333333333333333,163792,1.0,0.8777330018005659,0.9348858447488584
0.9300000000000002,164063,1.0,0.8791852439338078,0.9357089693758537
0.9285714285714286,164108,1.0,0.8794263911515048,0.9358455274353038
0.9200000000000002,164203,1.0,0.8799354797221984,0.9361337016228111
0.9166666666666667,164305,1.0,0.8804820800823115,0.9364429359983812
0.9142857142857144,164306,1.0,0.8804874389093715,0.9364459668180808
0.9000000000000001,164787,1.0,0.8830650347251994,0.9379017914312953
0.892857142857143,164788,1.0,0.8830703935522592,0.9379048139421052
0.8750000000000001,164868,1.0,0.883499099717054,0.9381465590822702
0.8700000000000001,164890,0.9999332888592395,0.8835580468147132,0.9381504304434164
0.8666666666666667,164934,0.9999333066559958,0.8837938352053503,0.9382833345659978
0.8633333333333334,164935,0.9999333070603571,0.8837991940324101,0.9382863547275866
0.8611111111111112,164939,0.9999333086777535,0.8838206293406499,0.9382984352021209
0.8500000000000001,164940,0.9999333090820904,0.8838259881677099,0.9383014552778
0.8333333333333334,164960,0.9999333171677982,0.8839331647089085,0.9383618531834523
0.8,165042,0.999521333963476,0.8840081882877476,0.9382226645812598
0.7750000000000001,165043,0.9995213368637265,0.8840135471148075,0.9382256839878175
0.7666666666666667,165044,0.9995213397639418,0.8840189059418675,0.9382287033772025
0.7500000000000001,165083,0.9995214528449325,0.8842279001972049,0.9383464461700755
0.7414285714285715,165085,0.999509343671442,0.8842279001972049,0.9383411100021894
