scenario,family,seed,run_id,topology,records,true_pairs,candidate_pairs,total_possible_pairs,candidate_recall,candidate_seconds,evaluation_seconds,score_artifact,score_sha256,matcher,threshold,tp,fp,fn,predicted,precision,recall,f1,oracle_threshold,oracle_precision,oracle_recall,oracle_f1,closure_tp,closure_fp,closure_fn,closure_precision,closure_recall,closure_f1,b3_precision,b3_recall,b3_f1,predicted_clusters,truth_clusters
adoption_blended_family,household_formation,20260720,2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,link,16342,8165,46535,66765205,1.0,10.46899680000206,21.127581900000223,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260720.parquet,fc82d1c494475dc440fe2c1add3c33ba8d5174727b111770f730e76128da84d8,baseline,0.65,6050,91,2115,6141,0.9851815665201107,0.7409675443968157,0.845798965469034,1.0000000000000002,1.0,0.7409675443968157,0.8512135068589518,6050,91,2115,0.9851815665201107,0.7409675443968157,0.845798965469034,0.992616162852364,0.8705788765145025,0.9276008636860639,10202,8177
adoption_blended_family,household_formation,20260720,2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,link,16342,8165,46535,66765205,1.0,10.46899680000206,21.127581900000223,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260720.parquet,fc82d1c494475dc440fe2c1add3c33ba8d5174727b111770f730e76128da84d8,learned,0.6500030591266042,6099,4,2066,6103,0.9993445846305096,0.7469687691365585,0.8549201009251473,0.006297369377908123,0.9824646269198211,0.9949785670545009,0.9886820007301935,6099,4,2066,0.9993445846305096,0.7469687691365585,0.8549201009251473,0.999755231917758,0.8735772855219679,0.932416913233025,10241,8177
adoption_blended_family,household_formation,20260720,2026-07-24_e2_adoption_blended_family_s20260720_seed20260720,link,16342,8165,46535,66765205,1.0,10.46899680000206,21.127581900000223,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260720.parquet,fc82d1c494475dc440fe2c1add3c33ba8d5174727b111770f730e76128da84d8,splink,0.9986013472769922,6050,2167,2115,8217,0.7362784471218207,0.7409675443968157,0.7386155536564522,0.3880054100290566,0.7881274131274131,1.0,0.8815114709851553,6050,2172,2115,0.7358306981269764,0.7409675443968157,0.738390187343626,0.8241484110471995,0.8705788765145025,0.8467276157486914,8140,8177
adoption_blended_family,household_formation,20260721,2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,link,16336,8164,45997,66716208,1.0,10.665885800000979,21.19204529999115,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260721.parquet,cb287b1bf241549a3e06b56172c87badeec19f8861002e6f9d651538d1c750bf,baseline,0.65,6053,100,2111,6153,0.9837477653177312,0.7414257716805488,0.8455682056296712,1.0000000000000002,1.0,0.7410583047525723,0.8512733924299986,6053,100,2111,0.9837477653177312,0.7414257716805488,0.8455682056296712,0.9920829252366962,0.8707761998041136,0.9274799021737445,10189,8172
adoption_blended_family,household_formation,20260721,2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,link,16336,8164,45997,66716208,1.0,10.665885800000979,21.19204529999115,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260721.parquet,cb287b1bf241549a3e06b56172c87badeec19f8861002e6f9d651538d1c750bf,learned,0.6500030591266042,6088,3,2076,6091,0.9995074700377606,0.7457128858402744,0.854156436338127,0.0062973693779081056,0.9777537277537277,0.9959578637922587,0.9867718446601942,6088,3,2076,0.9995074700377606,0.7457128858402744,0.854156436338127,0.9998163565132223,0.8729187071498531,0.93206820147606,10246,8172
adoption_blended_family,household_formation,20260721,2026-07-24_e2_adoption_blended_family_s20260721_seed20260721,link,16336,8164,45997,66716208,1.0,10.665885800000979,21.19204529999115,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260721.parquet,cb287b1bf241549a3e06b56172c87badeec19f8861002e6f9d651538d1c750bf,splink,0.9986013472769922,6053,2184,2111,8237,0.734854922908826,0.7414257716805488,0.738125724041217,0.3880054100290566,0.7875747636503955,1.0,0.8811656772800862,6053,2193,2111,0.7340528741207858,0.7414257716805488,0.7377209018890921,0.8233839373163565,0.8707761998041136,0.8464171954071912,8128,8172
adoption_blended_family,household_formation,20260722,2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,link,16372,8183,46732,67010587,1.0,13.193287200003397,26.92917810000654,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260722.parquet,9fb6d639d3c8908ee4919b29b64c01e87ace03f460fff316dd61938f4a3cb56a,baseline,0.65,6055,75,2128,6130,0.9877650897226754,0.7399486740804107,0.846083979598966,1.0000000000000002,1.0,0.739337651228156,0.8501370055504813,6055,76,2128,0.9876039797749143,0.7399486740804107,0.8460248707559034,0.9939327306783939,0.8700219887612998,0.9278587317826135,10244,8189
adoption_blended_family,household_formation,20260722,2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,link,16372,8183,46732,67010587,1.0,13.193287200003397,26.92917810000654,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260722.parquet,9fb6d639d3c8908ee4919b29b64c01e87ace03f460fff316dd61938f4a3cb56a,learned,0.6500030591266042,6092,0,2091,6092,1.0,0.7444702431870952,0.8535201401050788,0.006297369377908123,0.9827482205332368,0.9954784308933154,0.9890723652258377,6092,0,2091,1.0,0.7444702431870952,0.8535201401050788,1.0,0.8722819447837772,0.931784817146772,10280,8189
adoption_blended_family,household_formation,20260722,2026-07-24_e2_adoption_blended_family_s20260722_seed20260722,link,16372,8183,46732,67010587,1.0,13.193287200003397,26.92917810000654,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260722.parquet,9fb6d639d3c8908ee4919b29b64c01e87ace03f460fff316dd61938f4a3cb56a,splink,0.9986013472769922,6055,2181,2128,8236,0.7351869839728024,0.7399486740804107,0.7375601437359156,0.3880054100290566,0.7878116876865312,1.0,0.8813139472267096,6055,2189,2128,0.7344735565259582,0.7399486740804107,0.7372009496560542,0.823595162472514,0.8700219887612998,0.8461722304435958,8158,8189
adoption_blended_family,household_formation,20260723,2026-07-24_e2_adoption_blended_family_s20260723_seed20260723,link,16348,8169,45818,66814251,1.0,13.109831100009615,26.608217799992417,paper_experiments\results\E2_E6\E2\scores\adoption_blended_family\seed_20260723.parquet,77f625bf1ea17b1c0f347aaa6a73f5a81db4724676ffe892f71c72a0ad25fb59,baseline,0.65,6056,76,2113,6132,0.9876060013046314,0.7413392092055331,0.8469337808544858,1.0000000000000002,1.0,0.7406047251805606,0.850974048807933,6056,79,2113,0.9871230643846781,0.7413392092055331,0.8467561521252795,0.993842264089389,0.8707487154391974,0.9282323944566221,10220,8179
