scenario,family,matcher,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,b3_f1_mean,b3_f1_std,b3_precision_mean,b3_precision_std,b3_recall_mean,b3_recall_std,closure_f1_mean,closure_f1_std,oracle_f1_mean,oracle_f1_std,oracle_threshold_mean,oracle_threshold_std,fp_mean,fp_std,candidate_recall_mean,candidate_recall_std,candidate_pairs_mean,candidate_pairs_std,evaluation_seconds_mean,evaluation_seconds_std
adoption_blended_family,household_formation,baseline,0.8460481758729547,0.0005027309240512102,0.9846487530472215,0.0019511648216811105,0.7416545272344559,0.000820366713969272,0.9276858607829823,0.0002960625383279866,0.9923851857449228,0.0009692183515647977,0.8709071219976938,0.00041564697857326266,0.8459594943483777,0.0004853922632353442,0.851375552617214,0.0005631073419214175,1.0000000000000002,0.0,94.4,12.16735157889524,1.0,0.0,45678.9,695.0052677658082,24.443567049999547,2.9664763209308727
adoption_blended_family,household_formation,learned,0.8547041623587646,0.0007268973463031061,0.9996064361113609,0.0003111210842163749,0.7464939350982076,0.0011869768362259368,0.9323157491467041,0.00032225335414739055,0.9998530229261732,0.00011621658441554168,0.8733252945145343,0.0006052397418230219,0.8547041623587646,0.0007268973463031061,0.9880302678428956,0.0012369009175773272,0.006297369377908116,8.901909486364886e-18,2.4,1.8973665961010275,1.0,0.0,45678.9,695.0052677658082,24.443567049999547,2.9664763209308727
adoption_blended_family,household_formation,splink,0.7391133008020859,0.000883152490005981,0.7365777071647657,0.0010812667041837768,0.7416667896501519,0.0008330127988063993,0.8469338145194302,0.0004607862341534161,0.8242395620817957,0.0005615028525758549,0.870913248697853,0.00042212278071073004,0.7387750884692681,0.0008941558405988921,0.881572604642628,0.0005158963368060065,0.3880054100290566,0.0,2165.0,11.935009193312105,1.0,0.0,45678.9,695.0052677658082,24.443567049999547,2.9664763209308727
asymmetric_source_coverage,emission_noise_coverage,baseline,0.9970080371068066,0.0008362950835434328,0.9988923389308644,0.0005817852765519535,0.9951316658323359,0.0014060842536170082,0.9946038108591422,0.00044560916952149924,0.9996242968020047,0.00018799499576405452,0.9896336784858063,0.0007419238904564149,0.9969960079291834,0.0008490738739353663,0.9972272152537339,0.0007358443834081299,0.6044444444444446,0.016101529717988238,4.6,2.412928142780514,0.9999040993477284,0.00012380762763665855,29978.0,467.87320219620744,21.294123220001346,2.190270877204754
asymmetric_source_coverage,emission_noise_coverage,learned,0.9989678789007892,0.00037214186798377534,0.9998082328474551,0.0002719133821426587,0.9981293618196444,0.0008212103161082425,0.9951954246301924,0.00032784731443586025,0.999929895366795,9.665176192229771e-05,0.9905057997457215,0.0006700733400089256,0.9989678789007892,0.00037214186798377534,0.9990881492560544,0.00037198534970239055,0.4880539258288845,0.11389053090348647,0.8,1.1352924243950933,0.9999040993477284,0.00012380762763665855,29978.0,467.87320219620744,21.294123220001346,2.190270877204754
asymmetric_source_coverage,emission_noise_coverage,splink,0.9944522980607896,0.000985249099526553,0.9937754559531369,0.0013159074187648744,0.9951316658323359,0.0014060842536170082,0.9936782046705422,0.00046248820739505045,0.9977419751914735,0.00044603507519324704,0.9896476958742451,0.0007418665785487315,0.9941068178991441,0.001023549601584762,0.9953860007841582,0.0007704964191054937,0.5827268764206824,0.0,26.0,5.517648452415616,0.9999040993477284,0.00012380762763665855,29978.0,467.87320219620744,21.294123220001346,2.190270877204754
clean_baseline_linkage,clean_mobility,baseline,0.9991648382738194,0.0002193110561033357,0.9988973510739063,0.0003327476160188505,0.9994325067099192,0.0001659328965340177,0.9992932538879105,0.00014888695543969065,0.9994282478358032,0.00017331396019874563,0.999158321722166,0.00020594186771155068,0.9991281014307039,0.000232545046052617,0.9991701016828698,0.00021558780015289598,0.6444791666666667,0.011948178518393776,10.5,3.1710495984067415,1.0,0.0,65815.2,901.5445758376137,29.184173460003514,3.205041885934739
clean_baseline_linkage,clean_mobility,learned,0.9997689156033586,0.0001529378615864499,0.9996219421504817,0.0002580751719474212,0.9999159585485058,9.652643837195201e-05,0.9996018280350203,0.00010648922458968072,0.9998098250157673,0.00013268787468716337,0.9993939423316835,0.00018046441163440917,0.999763667086875,0.00015892486858856694,0.9998634049922195,8.28849233778538e-05,0.825092551443331,0.13065700317360454,3.6,2.4585451886114367,1.0,0.0,65815.2,901.5445758376137,29.184173460003514,3.205041885934739
clean_baseline_linkage,clean_mobility,splink,0.9974410950006349,0.0002508194463562023,0.9954890800418006,0.00058132989816294,0.9994010006860385,0.00017203567631070063,0.9984259248247878,0.00013601181317503928,0.9977049052986764,0.0003116671728490677,0.9991480826347556,0.00021323968416681684,0.9973940413856404,0.000267402920845432,0.9974464511923273,0.00025362847351755865,0.9570139001913613,0.13151105486232542,43.1,5.586690532964135,1.0,0.0,65815.2,901.5445758376137,29.184173460003514,3.205041885934739
couple_merge,household_formation,baseline,0.8702410481094722,0.003050806884037144,0.9974952652465416,0.0007582765294748298,0.7717973231357552,0.0050991873649380995,0.9183829749733625,0.002011673853746627,0.9985439127801333,0.0004020474977873302,0.8501433474661821,0.003657852996856657,0.8701472557053951,0.0030584649392679645,0.873330704612911,0.0027974288785251517,0.6000000000000001,0.0,20.3,6.30784344200844,0.9981070745697898,0.0003514097833547511,45402.0,653.210192476784,24.647256209998158,2.6630516978406034
couple_merge,household_formation,learned,0.8870903388540862,0.0023736732695235226,0.9996763254608962,0.00037530994029260186,0.7973040152963671,0.0038086047136536797,0.9302832950768097,0.0014912458834158984,0.9998295982232991,0.0001782762878564004,0.8697859882899254,0.0025875019677136226,0.8870526149660185,0.0023920256003412683,0.9852910267114607,0.0013529246455035464,0.006297369377908114,9.142795491085159e-18,2.7,3.1287200080686173,0.9981070745697898,0.0003514097833547511,45402.0,653.210192476784,24.647256209998158,2.6630516978406034
couple_merge,household_formation,splink,0.8591022072628004,0.0031612797815143783,0.9687353660621942,0.0022231774925676453,0.7717782026768643,0.005185840694603686,0.9132686533878,0.00204607149872043,0.9810699287589051,0.0012466260711549845,0.8542418736119524,0.00377758477567162,0.8587866745467796,0.003171412645069122,0.9790080409017777,0.0010797022309822807,0.3880054100290566,0.0,260.6,19.58570907575215,0.9981070745697898,0.0003514097833547511,45402.0,653.210192476784,24.647256209998158,2.6630516978406034
death_survivor_persistence,lifecycle,baseline,0.9996613358179754,0.0004759218926870524,0.9993233080793299,0.0009508378135882387,1.0,0.0,0.9998304286357094,0.00023833924973493364,0.9996610169491525,0.0004764260128313798,1.0,0.0,0.9996613358179754,0.0004759218926870524,1.0,0.0,1.0000000000000002,0.0,1.2,1.6865480854231358,1.0,0.0,3943.6,103.41631077027134,5.3181366400007395,0.6431453265643409
death_survivor_persistence,lifecycle,learned,0.9998306041784304,0.0002727531855107891,0.9996613995485328,0.0005451985231824572,1.0,0.0,0.9999152302910426,0.0001364921987961568,0.9998305084745762,0.0002729072833557615,1.0,0.0,0.9998306041784304,0.0002727531855107891,1.0,0.0,0.9999920993841217,0.0,0.6,0.9660917830792958,1.0,0.0,3943.6,103.41631077027134,5.3181366400007395,0.6431453265643409
death_survivor_persistence,lifecycle,splink,0.9982523133690148,0.0008580668279922058,0.9965120434647832,0.001710397724898465,1.0,0.0,0.9991233590464024,0.0004311999515009337,0.9982485875706214,0.0008609513710480291,1.0,0.0,0.9982523133690148,0.0008580668279922058,1.0,0.0,0.9999999999998235,0.0,6.2,3.0477678535099897,1.0,0.0,3943.6,103.41631077027134,5.3181366400007395,0.6431453265643409
divorce_custody,household_dissolution,baseline,0.9910110884906101,0.0007945421803858354,0.9989917640908408,0.0003426731696450271,0.9831578803693244,0.001474762239794047,0.9942591504700887,0.0005335645068557679,0.9994292195523597,0.00017478743450071517,0.9891427084609571,0.0009918035853881634,0.9913502681326284,0.0008071089917523176,0.9915090608423324,0.0005664849716968944,0.6012700534759359,0.0026865781853292847,27.6,9.395034149308168,0.9994103203729996,0.000267101382607784,165616.9,2569.4158631443374,47.242176090001884,5.42173415614211
